filename,bend,rotate,vshift,angle,depth
NO001.bmp,0,-2.982,0,0,-5.921906133
NO002.bmp,0,17.304,0,0,28.91605888
NO001.bmp,0,25.546,0,0,73.47662107
NO002.bmp,0,-4.163,0,0,34.0648385
NO001.bmp,0,10.596,0,0,31.05363684
NO002.bmp,0,30.894,0,0,22.45431295
NO001.bmp,0,4.57,0,0,26.34506595
NO002.bmp,0,26.236,0,0,22.89155716
NO001.bmp,0,30.987,0,0,25.85696285
NO002.bmp,0,14.325,0,0,24.07467144
NO001.bmp,0,21.961,0,0,26.38859034
NO002.bmp,0,22.051,0,0,39.97103618
NO001.bmp,0,-0.1,0,0,21.74192508
NO002.bmp,0,-4.563,0,0,13.93770117
NO001.bmp,0,5.838,0,0,49.65204393
NO002.bmp,0,12.806,0,0,38.35386841
NO001.bmp,0,9.554,0,0,40.57799336
NO002.bmp,0,8.672,0,0,35.09193481
NO001.bmp,0,-7.34,0,0,19.12078676
NO002.bmp,0,8.64,0,0,15.11504781
NO001.bmp,0,11.374,0,0,41.63064393
NO002.bmp,0,15.821,0,0,1.125
NO001.bmp,0,20.611,0,0,18.33171231
NO002.bmp,0,19.472,0,0,25.15604675
