filename,bend,rotate,vshift,angle,depth
variation_98,5,10,10,24.36,22.36
variation_99,7.5,15,10,30.03,22.36
variation_100,10,20,10,35.73,22.36
variation_101,12.5,25,10,40.83,22.36
variation_102,15,30,10,45.49,22.36
variation_103,17.5,35,10,51.12,22.36
variation_104,20,40,10,55.06,22.36
variation_105,22.5,45,10,60.38,22.36
variation_106,-12.5,-25,15,-20.14,33.54
variation_107,-10,-20,15,-14.42,33.54
variation_108,-7.5,-15,15,-8.59,33.54
variation_109,-5,-10,15,-1.64,33.54
variation_110,-2.5,-5,15,5.54,33.54
variation_111,0,0,15,11.17,33.54
variation_112,2.5,5,15,16.27,33.54
variation_113,5,10,15,22.73,33.54
variation_114,7.5,15,15,29.27,33.54
variation_115,10,20,15,35.73,33.54
variation_116,12.5,25,15,40.83,33.54
variation_117,15,30,15,45,33.54
variation_118,17.5,35,15,54.41,33.54
variation_119,20,40,15,56.07,33.54
variation_120,22.5,45,15,66.92,33.54
variation_121,-12.5,-25,20,-24.71,44.72
variation_122,-10,-20,20,-17.85,44.72
variation_123,-7.5,-15,20,-9.73,44.72
variation_124,-5,-10,20,-1.64,44.72
variation_125,-2.5,-5,20,5.54,44.72
variation_126,0,0,20,12.16,44.72
variation_127,2.5,5,20,18.78,44.72
variation_128,5,10,20,26,44.72
variation_129,7.5,15,20,32.34,44.72
variation_130,10,20,20,36.31,44.72
variation_131,12.5,25,20,43.4,44.72
variation_132,15,30,20,50.05,44.72
variation_133,17.5,35,20,55.85,44.72
variation_134,20,40,20,64,44.72
variation_135,22.5,45,20,69.9,44.72
variation_136,-12.5,-25,25,-25.84,55.9
variation_137,-10,-20,25,-17.85,55.9
variation_138,-7.5,-15,25,-10.87,55.9
variation_139,-5,-10,25,-2.74,55.9
variation_140,-2.5,-5,25,5.54,55.9
variation_141,0,0,25,11.17,55.9
variation_142,2.5,5,25,19.66,55.9
variation_143,5,10,25,27.64,55.9
variation_144,7.5,15,25,34.81,55.9
variation_145,10,20,25,41.4,55.9
variation_146,12.5,25,25,46.46,55.9
variation_147,15,30,25,50.05,55.9
variation_148,17.5,35,25,62.03,55.9
variation_149,20,40,25,67.43,55.9
variation_150,22.5,45,25,58.62,55.9
variation_151,-12.5,-25,30,-27.13,67.08
variation_152,-10,-20,30,-20.14,67.08
variation_153,-7.5,-15,30,-11.03,67.08
variation_154,-5,-10,30,-1.64,67.08
variation_155,-2.5,-5,30,6.02,67.08
variation_156,0,0,30,14.69,67.08
variation_157,2.5,5,30,20.37,67.08
variation_158,5,10,30,27.59,67.08
variation_159,7.5,15,30,34.13,67.08
variation_160,10,20,30,40.42,67.08
variation_161,12.5,25,30,48.38,67.08
variation_162,15,30,30,56.43,67.08
variation_163,17.5,35,30,61.73,67.08
variation_164,20,40,30,59.44,67.08
variation_165,22.5,45,30,60.22,67.08
variation_166,-12.5,-25,35,-30.53,78.26
variation_167,-10,-20,35,-20.14,78.26
variation_168,-7.5,-15,35,-12.16,78.26
variation_169,-5,-10,35,-3.84,78.26
variation_170,-2.5,-5,35,5.54,78.26
variation_171,0,0,35,13.74,78.26
variation_172,2.5,5,35,20.37,78.26
variation_173,5,10,35,29.27,78.26
variation_174,7.5,15,35,37.31,78.26
variation_175,10,20,35,43.4,78.26
variation_176,12.5,25,35,53.26,78.26
variation_177,15,30,35,56.43,78.26
variation_178,17.5,35,35,60.46,78.26
variation_179,20,40,35,62.68,78.26
variation_180,22.5,45,35,-72.59,78.26
variation_181,-12.5,-25,40,-28.27,89.44
variation_182,-10,-20,40,-19,89.44
variation_183,-7.5,-15,40,-11.03,89.44
variation_184,-5,-10,40,-3.84,89.44
variation_185,-2.5,-5,40,5.54,89.44
variation_186,0,0,40,13.74,89.44
variation_187,2.5,5,40,23.58,89.44
variation_188,5,10,40,33.03,89.44
variation_189,7.5,15,40,39.84,89.44
variation_190,10,20,40,48.38,89.44
variation_191,12.5,25,40,56.7,89.44
variation_192,15,30,40,62.09,89.44
variation_193,17.5,35,40,60.99,89.44
variation_194,20,40,40,-73.86,89.44
variation_195,22.5,45,40,-72.4,89.44
variation_196,-12.5,-25,45,-24.71,100.62
variation_197,-10,-20,45,-17.85,100.62
variation_198,-7.5,-15,45,-9.73,100.62
variation_199,-5,-10,45,-0.2,100.62
variation_200,-2.5,-5,45,8.6,100.62
variation_201,0,0,45,17.87,100.62
variation_202,2.5,5,45,26.81,100.62
variation_203,5,10,45,36.38,100.62
variation_204,7.5,15,45,44.95,100.62
variation_205,10,20,45,52.92,100.62
variation_206,12.5,25,45,57.24,100.62
variation_207,15,30,45,54.61,100.62
variation_208,17.5,35,45,-74.82,100.62
variation_209,20,40,45,N/A,100.62
variation_210,22.5,45,45,N/A,100.62
variation_211,-12.5,-25,50,-22.43,111.8
variation_212,-10,-20,50,-12.16,111.8
variation_213,-7.5,-15,50,-3.84,111.8
variation_214,-5,-10,50,3.01,111.8
variation_215,-2.5,-5,50,14.07,111.8
variation_216,0,0,50,21.97,111.8
variation_217,2.5,5,50,31.63,111.8
variation_218,5,10,50,39.84,111.8
variation_219,7.5,15,50,46.46,111.8
variation_220,10,20,50,51.5,111.8
variation_221,12.5,25,50,52.08,111.8
variation_222,15,30,50,33.13,111.8
variation_223,17.5,35,50,-71,111.8
variation_224,20,40,50,N/A,111.8
variation_225,22.5,45,50,N/A,111.8
